symbol,side,entry_date,exit_date,entry_z,exit_z,beta,corr,hold_bars,pair_ret,exit_reason
BHARTIARTL,LONG_PAIR,2022-06-08,2022-06-13,-2.323090694689652,-0.2043994704077043,0.03848967035925516,0.8345110043861363,3,0.013430090351101681,mean_revert
BHARTIARTL,LONG_PAIR,2022-07-11,2022-07-26,-2.232839865180296,-0.4424720071566375,0.04265677593990577,0.8520209790951918,11,0.03494745552716307,mean_revert
BHARTIARTL,SHORT_PAIR,2022-08-23,2022-09-21,2.064624063237626,1.6471726810866683,0.024519527423741964,0.7991432487230503,20,-0.05755844949780312,time
BHARTIARTL,SHORT_PAIR,2022-09-28,2022-10-28,2.1358340933814874,1.7293813648306997,0.04796791724372272,0.7669702398925421,20,-0.07011482901807778,time
BHARTIARTL,LONG_PAIR,2023-01-11,2023-01-12,-3.840142024492314,-3.769876836549635,0.044583850016062535,0.8029070995883838,1,-0.011205521896126374,stop
BHARTIARTL,LONG_PAIR,2023-01-13,2023-01-27,-3.1687527124943218,0.448314647625597,0.04813720498100462,0.7327552125254452,9,0.014289825810727833,mean_revert
BHARTIARTL,SHORT_PAIR,2023-03-14,2023-03-16,2.056058760114128,0.18701208049953938,0.05215313295879278,0.7010444270791066,2,0.03331657058792474,mean_revert
BHARTIARTL,SHORT_PAIR,2023-04-28,2023-05-03,2.0908192893053843,-0.32217663327679,0.02659594581533199,0.7071032014640115,2,0.025058508123538513,mean_revert
BHARTIARTL,SHORT_PAIR,2023-05-19,2023-05-31,2.076654965783374,3.827728791049599,0.030811019713709614,0.84694473493993,8,-0.05423356349014923,stop
BHARTIARTL,SHORT_PAIR,2023-06-02,2023-06-14,2.3116884937039184,0.032141452059685646,0.03908886283656772,0.873289783352086,8,0.010689016464345478,mean_revert
BHARTIARTL,SHORT_PAIR,2023-06-23,2023-07-03,2.4121998685553745,-0.05327518086410406,0.05578247085272503,0.9272984475926463,5,-0.02652247014706583,mean_revert
BHARTIARTL,LONG_PAIR,2023-07-17,2023-07-24,-2.009625429057354,-0.1042679014603651,0.06567955239124297,0.9450899536710358,5,0.01157540987891626,mean_revert
BHARTIARTL,SHORT_PAIR,2023-09-13,2023-10-13,2.143280978522207,2.2691246265024128,0.036224691487726106,0.7726394032030303,20,-0.043246250706718545,time
