date,event,pair,side,ret,pnl,equity,dd
2022-05-13,close,SBI_AXIS,SHORT_Y,0.019195126544003377,2010.1638555176455,420900.6256421585,-0.000850782124165117
2022-05-25,open,TCS_INFY,LONG_Y,-0.012715532254907513,0.0,420900.6256421585,-0.000850782124165117
2022-05-26,open,Nifty_BankNifty,SHORT_Y,0.015359093426305925,0.0,420900.6256421585,-0.000850782124165117
2022-05-26,open,Nifty_FinNifty,SHORT_Y,0.014629880347385105,0.0,420900.6256421585,-0.000850782124165117
2022-05-30,close,TCS_INFY,LONG_Y,-0.012715532254907513,-1337.9938703659047,419562.6317717926,-0.004026960651006495
2022-06-03,close,Nifty_BankNifty,SHORT_Y,0.015359093426305925,1616.1630081071319,421178.7947798997,-0.00019045410496276727
2022-06-03,close,Nifty_FinNifty,SHORT_Y,0.014629880347385105,1539.4314478210774,422718.2262277208,0.0
2022-06-08,open,SBI_AXIS,SHORT_Y,0.017429633492492186,0.0,422718.2262277208,0.0
2022-06-10,close,SBI_AXIS,SHORT_Y,0.017429633492492186,1841.9559384363927,424560.1821661572,0.0
2022-06-14,open,TCS_INFY,LONG_Y,0.01675628441005733,0.0,424560.1821661572,0.0
2022-06-23,close,TCS_INFY,LONG_Y,0.01675628441005733,1778.51279039047,426338.69495654764,0.0
2022-06-30,open,SBI_AXIS,SHORT_Y,0.016587079030328133,0.0,426338.69495654764,0.0
2022-07-07,open,Nifty_BankNifty,SHORT_Y,-0.005547183469667594,0.0,426338.69495654764,0.0
2022-07-08,open,TCS_INFY,LONG_Y,-0.014377600935329193,0.0,426338.69495654764,0.0
2022-07-11,close,TCS_INFY,LONG_Y,-0.014377600935329193,-1532.4319048435718,424806.26305170404,-0.0035944002338323955
2022-07-11,open,Nifty_FinNifty,SHORT_Y,-0.0024344945537737583,0.0,424806.26305170404,-0.0035944002338323955
2022-07-14,close,SBI_AXIS,SHORT_Y,0.016587079030328133,1767.9284067328035,426574.19145843684,0.0
2022-07-20,open,SBI_AXIS,SHORT_Y,-0.021200197279962696,0.0,426574.19145843684,0.0
2022-07-21,close,Nifty_BankNifty,SHORT_Y,-0.005547183469667594,-591.244740285654,425982.94671815116,-0.001386030266538718
2022-07-22,open,Nifty_BankNifty,SHORT_Y,0.004323033518883745,0.0,425982.94671815116,-0.001386030266538718
2022-07-25,close,Nifty_FinNifty,SHORT_Y,-0.0024344945537737583,-258.547133452089,425724.3995846991,-0.0019921314761972564
2022-08-03,close,SBI_AXIS,SHORT_Y,-0.021200197279962696,-2260.86425336486,423463.5353313342,-0.007292180796187986
2022-07-29,close,Nifty_BankNifty,SHORT_Y,0.004323033518883745,460.38463928385903,423923.9199706181,-0.006212920380292086
