side,hold,ret,reason,entry_z,symbol
SHORT,2,-0.020964081049478948,cut_wrong,2.395447917843611,SBIN
SHORT,4,0.04597593341735031,time,2.104765608840732,SBIN
SHORT,2,-0.012401818582521961,cut_wrong,2.026992562259726,SBIN
SHORT,3,-8.863518316557981e-05,cut_wrong,2.506415723715667,SBIN
LONG,2,-0.04195208465132478,cut_wrong,-2.542076456782333,SBIN
LONG,3,-0.014879858492365628,cut_wrong,-2.467541307805921,SBIN
LONG,4,0.02064072940395412,time,-2.290772371042866,SBIN
LONG,2,-0.00965804641950162,cut_wrong,-2.173939676490273,ITC
SHORT,2,-0.013910591757124665,cut_wrong,2.0215820951212002,ITC
SHORT,2,-0.01635215006762671,cut_wrong,2.503540547393621,ITC
SHORT,3,-0.0015377592238312,cut_wrong,2.467528526651815,ITC
SHORT,4,0.020482654762957294,time,2.26517075811669,ITC
LONG,3,0.05154806792728231,mean_revert,-2.591102992476079,ITC
LONG,4,0.007227204169297179,time,-2.4576365287927477,ITC
LONG,3,-0.006845644732599718,cut_wrong,-2.09753583764881,ITC
LONG,4,0.021340132438014903,time,-2.514148146921299,ITC
LONG,4,-0.0023752140882972697,cut_wrong,-2.1922384041184673,ITC
LONG,2,0.028696645674969937,mean_revert,-2.6930999107656968,ITC
SHORT,4,0.026623218960011852,mean_revert,2.9813105354420792,ITC
LONG,1,-0.026008230761455132,stop,-3.0210518813701346,ITC
LONG,2,-0.003348012472476417,cut_wrong,-3.3209486257699083,ITC
LONG,2,-0.014338997184090938,cut_wrong,-2.850603717760563,ITC
SHORT,4,0.013936718087454102,time,2.110301042415504,ITC
SHORT,4,0.005178477857593766,time,2.052770194342689,ITC
LONG,2,-0.009855546449593194,cut_wrong,-2.199564178219009,ITC
LONG,4,0.04211851453382879,mean_revert,-2.733080766667191,ITC
LONG,2,-0.010892642193618025,cut_wrong,-2.0605205649541767,ITC
LONG,2,-0.012043283229221536,cut_wrong,-2.422376930577963,ITC
LONG,4,0.009483601401038605,time,-2.5660737394875297,ITC
LONG,4,0.008011716269869825,time,-2.510977926424832,ITC
LONG,2,-0.006391066093304513,cut_wrong,-2.112172985291619,ITC
SHORT,4,0.017603925062721057,mean_revert,2.2143847852996834,ITC
LONG,2,-0.009484760812038395,cut_wrong,-3.0658946683796247,ITC
LONG,2,-0.0029131495950302346,cut_wrong,-2.3163267897134032,ITC
LONG,3,-0.021099036246483325,cut_wrong,-3.117437054819233,HINDUNILVR
LONG,3,0.03120668950117654,mean_revert,-3.7476779104579054,HINDUNILVR
LONG,2,-0.00965502845419212,cut_wrong,-2.069421490274234,HINDUNILVR
LONG,2,-0.06596310740940393,cut_wrong,-2.8805965150866433,HINDUNILVR
LONG,4,0.0487041498796602,time,-2.7412666173069558,HINDUNILVR
LONG,4,-0.02837002270199017,stop,-2.1599340890669163,HINDUNILVR
LONG,2,-0.011965982373203322,cut_wrong,-3.3378370781404416,HINDUNILVR
LONG,4,0.047475491484701586,time,-2.5507177322541628,HINDUNILVR
SHORT,4,0.026673460494311522,mean_revert,2.7976420182397153,HINDUNILVR
LONG,4,0.03449875686993125,time,-4.8875438304999985,HINDUNILVR
SHORT,4,0.0024671626593452925,time,2.3350121867857374,HINDUNILVR
LONG,4,0.020242602601591376,time,-3.643091328841026,HINDUNILVR
LONG,3,-0.0008652714076082986,cut_wrong,-2.053342237778933,HINDUNILVR
LONG,3,-0.027362731737158523,cut_wrong,-2.068765710819866,HINDUNILVR
LONG,2,-0.02126822989331565,cut_wrong,-2.9722982881059847,HINDUNILVR
LONG,2,-0.007181449245687035,cut_wrong,-2.778795024853234,HINDUNILVR
LONG,4,0.034538996220288436,time,-2.0726721935810515,HINDUNILVR
LONG,2,-0.00249864846691903,cut_wrong,-2.106953983925701,HINDUNILVR
SHORT,4,0.03179885513006146,time,2.966628546979469,HINDUNILVR
SHORT,2,0.02491885364527637,mean_revert,2.067781419183205,HINDUNILVR
SHORT,3,-0.008054560449624213,cut_wrong,3.4582669027165864,LT
SHORT,2,-0.004598922803522176,cut_wrong,2.238396465250527,LT
LONG,4,0.003291828978790589,time,-2.275158992840625,LT
LONG,2,-0.0005826219889254788,cut_wrong,-2.7234489829468695,LT
